asset_id,category,asset_name,recommended_implementation,priority,states_variants,current_status,notes,unity_path,guid,width,height,alpha,origin
RS-007,Resource icons & inventory support,Fuel / tinder icon,Icon sprite,P0,"single, bundle",missing,Fire startup.,Assets/ProjectOEN/GeneratedArtRuntime256/resource_icons_inventory_support/rs_007_fuel_tinder_icon.png,a4c0c0d3270a8a820c511673eb0065f8,256,256,True,generated_runtime_sprite
RS-008,Resource icons & inventory support,Food ration icon,Icon sprite,P1,"single, bundle",missing,Scenario flavor / support.,Assets/ProjectOEN/GeneratedArtRuntime256/resource_icons_inventory_support/rs_008_food_ration_icon.png,2c4010e9ab55ab4339d59a8fca5c7fae,256,256,True,generated_runtime_sprite
RS-009,Resource icons & inventory support,Water icon,Icon sprite,P1,"full, half, empty",missing,Can appear on containers / UI.,Assets/ProjectOEN/GeneratedArtRuntime256/resource_icons_inventory_support/rs_009_water_icon.png,7434de13c215723170c0825c4d496254,256,256,True,generated_runtime_sprite
RS-010,Resource icons & inventory support,Radio parts icon,Icon sprite,P0,"single, bundle",missing,Repair goal.,Assets/ProjectOEN/GeneratedArtRuntime256/resource_icons_inventory_support/rs_010_radio_parts_icon.png,8b9a1775fa2452500934cb114fe76a70,256,256,True,generated_runtime_sprite
RS-011,Resource icons & inventory support,Cloth / rag icon,Icon sprite,P1,"single, bundle",missing,Repair / fuel material.,Assets/ProjectOEN/GeneratedArtRuntime256/resource_icons_inventory_support/rs_011_cloth_rag_icon.png,3c87365c4bc503264e324d43f05252b4,256,256,True,generated_runtime_sprite
RS-012,Resource icons & inventory support,Metal scrap icon,Icon sprite,P1,"single, stack",missing,Repair material.,Assets/ProjectOEN/GeneratedArtRuntime256/resource_icons_inventory_support/rs_012_metal_scrap_icon.png,1744391f2a4060983eae4b639fed9588,256,256,True,generated_runtime_sprite
RS-013,Resource icons & inventory support,Medicinal herb icon,Icon sprite,P2,"single, bundle",missing,Optional support item.,Assets/ProjectOEN/GeneratedArtRuntime256/resource_icons_inventory_support/rs_013_medicinal_herb_icon.png,a958240489ad96b80a64eadc6074416f,256,256,True,generated_runtime_sprite
RS-014,Resource icons & inventory support,Torch fuel icon,Icon sprite,P2,"single, bottle",missing,Optional support item.,Assets/ProjectOEN/GeneratedArtRuntime256/resource_icons_inventory_support/rs_014_torch_fuel_icon.png,4fb4788cc7b1ee9ce7685a6e45e9029b,256,256,True,generated_runtime_sprite
RS-015,Resource icons & inventory support,Signal material icon,Icon sprite,P0,"single, stack",missing,Beacon build progress.,Assets/ProjectOEN/GeneratedArtRuntime256/resource_icons_inventory_support/rs_015_signal_material_icon.png,487a0c283f1d35d88ad1d9c6f9f28288,256,256,True,generated_runtime_sprite
RS-016,Resource icons & inventory support,Camp supplies crate icon,Icon sprite,P1,"closed, open",missing,Planning/inventory feedback.,Assets/ProjectOEN/GeneratedArtRuntime256/resource_icons_inventory_support/rs_016_camp_supplies_crate_icon.png,94a81ce3fa570ff801b91b3e378a4c3e,256,256,True,generated_runtime_sprite
RS-017,Resource icons & inventory support,Carried weight icon,Icon sprite,P1,"light, medium, heavy",missing,Shared-carry / object heft.,Assets/ProjectOEN/GeneratedArtRuntime256/resource_icons_inventory_support/rs_017_carried_weight_icon.png,413e46039af35b040e0580a4f1602d5a,256,256,True,generated_runtime_sprite
RS-018,Resource icons & inventory support,Wetness droplet icon,Icon sprite,P1,"light, medium, high",missing,Feedback for objects/weather.,Assets/ProjectOEN/GeneratedArtRuntime256/resource_icons_inventory_support/rs_018_wetness_droplet_icon.png,923434e11101982248dd1bd6c3d55503,256,256,True,generated_runtime_sprite
RS-019,Resource icons & inventory support,Durability pip set,UI sprite set,P1,"full, medium, low",missing,Shared for items.,Assets/ProjectOEN/GeneratedArtRuntime256/resource_icons_inventory_support/rs_019_durability_pip_set.png,4fee26381decb07616c3263a8791d970,256,256,True,generated_runtime_sprite
RS-020,Resource icons & inventory support,Quantity counter frame,UI frame,P1,"1-digit, 2-digit",missing,Inventory counts.,Assets/ProjectOEN/GeneratedArtRuntime256/resource_icons_inventory_support/rs_020_quantity_counter_frame.png,c7af09e57986e5603f8aebc0dbc40ace,256,256,True,generated_runtime_sprite
PR-001,Props & tools,Tarp / presenning,3D prop + texture ref,P0,"folded, placed, damaged, wet",existing_concept,Needs production variants.,Assets/ProjectOEN/GeneratedArtRuntime256/props_tools/pr_001_tarp_presenning.png,c5018a59bb684b639dc0c1bcda167493,256,256,True,generated_runtime_sprite
PR-002,Props & tools,Rope coil,3D prop + texture ref,P0,"loose, carried, placed",missing,Core prop.,Assets/ProjectOEN/GeneratedArtRuntime256/props_tools/pr_002_rope_coil.png,fff998c0e40b73c91155dcc48384de16,256,256,True,generated_runtime_sprite
PR-003,Props & tools,Wood poles bundle,3D prop + texture ref,P0,"bundle, placed, damaged",existing_concept,Core prop.,Assets/ProjectOEN/GeneratedArtRuntime256/props_tools/pr_003_wood_poles_bundle.png,04437d99d0b78efe6a5d0dcb7acaba0f,256,256,True,generated_runtime_sprite
PR-004,Props & tools,Supply crate,3D prop + texture ref,P0,"closed, open, broken",existing_concept,Core prop.,Assets/ProjectOEN/GeneratedArtRuntime256/props_tools/pr_004_supply_crate.png,d5bb861c508f37a858cc1e1f0da4487b,256,256,True,generated_runtime_sprite
PR-005,Props & tools,Portable radio,3D prop + texture ref,P0,"off, active, broken, repaired",existing_concept,Quest interaction hero prop.,Assets/ProjectOEN/GeneratedArtRuntime256/props_tools/pr_005_portable_radio.png,5f892fd7723addabe653719037da503a,256,256,True,generated_runtime_sprite
PR-006,Props & tools,First-aid kit,3D prop + texture ref,P1,"closed, open",existing_concept,Support prop.,Assets/ProjectOEN/GeneratedArtRuntime256/props_tools/pr_006_first_aid_kit.png,7fe085a37d8a8d06598f85abbf5605e8,256,256,True,generated_runtime_sprite
PR-007,Props & tools,Metal canteen,3D prop + texture ref,P1,"full, empty",existing_concept,Support prop.,Assets/ProjectOEN/GeneratedArtRuntime256/props_tools/pr_007_metal_canteen.png,1f3007c784f10f7c79d85401782179ce,256,256,True,generated_runtime_sprite
PR-008,Props & tools,Oil lantern,3D prop + texture ref,P1,"off, lit",existing_concept,Night readability prop.,Assets/ProjectOEN/GeneratedArtRuntime256/props_tools/pr_008_oil_lantern.png,62baa7756c75cdeaac0185a5bf68bac2,256,256,True,generated_runtime_sprite
PR-009,Props & tools,Torch,3D prop + texture ref,P1,"unlit, lit, dying",missing,Exploration support.,Assets/ProjectOEN/GeneratedArtRuntime256/props_tools/pr_009_torch.png,a1b0909a7e2afd55181bc58979b2218e,256,256,True,generated_runtime_sprite
PR-010,Props & tools,Stone pile,3D prop + texture ref,P1,"small, medium, large",missing,Campfire / construction material.,Assets/ProjectOEN/GeneratedArtRuntime256/props_tools/pr_010_stone_pile.png,8f068fcaaa360cf5138f5ceeed18e17f,256,256,True,generated_runtime_sprite
PR-011,Props & tools,Palm leaf pile,3D prop + texture ref,P1,"small, medium",missing,Shelter build material.,Assets/ProjectOEN/GeneratedArtRuntime256/props_tools/pr_011_palm_leaf_pile.png,6187cdb2721723cab41a221b5cf51dd5,256,256,True,generated_runtime_sprite
PR-012,Props & tools,Scrap metal bundle,3D prop + texture ref,P1,"small, medium",missing,Radio repair resource.,Assets/ProjectOEN/GeneratedArtRuntime256/props_tools/pr_012_scrap_metal_bundle.png,6530bfec7cdc0d296f7bf3bcbfed5670,256,256,True,generated_runtime_sprite
PR-013,Props & tools,Cloth bundle,3D prop + texture ref,P1,"small, medium",missing,Repair / tinder prop.,Assets/ProjectOEN/GeneratedArtRuntime256/props_tools/pr_013_cloth_bundle.png,132f5c22f319ffe9580895152f04bb8f,256,256,True,generated_runtime_sprite
PR-014,Props & tools,Signal flag / cloth strip,3D prop + texture ref,P1,"clean, worn, storm-damaged",missing,Beacon dressing.,Assets/ProjectOEN/GeneratedArtRuntime256/props_tools/pr_014_signal_flag_cloth_strip.png,66c680537c9982b00c6ba477c4900f23,256,256,True,generated_runtime_sprite
PR-015,Props & tools,Cook pot,3D prop + texture ref,P2,"empty, cooking",missing,Camp detail.,Assets/ProjectOEN/GeneratedArtRuntime256/props_tools/pr_015_cook_pot.png,c5c4d73b523dec1a1e9f8c45c3d3791f,256,256,True,generated_runtime_sprite
PR-016,Props & tools,Water collector,3D prop + texture ref,P1,"empty, collecting, full",missing,Mockup implied.,Assets/ProjectOEN/GeneratedArtRuntime256/props_tools/pr_016_water_collector.png,aff8e77b2bb4d679cefc3897966692e1,256,256,True,generated_runtime_sprite
PR-017,Props & tools,Tool hammer / mallet,3D prop + texture ref,P1,"clean, worn",missing,Build interaction support.,Assets/ProjectOEN/GeneratedArtRuntime256/props_tools/pr_017_tool_hammer_mallet.png,ca22404d017830dd3642dcb2aa71ddfc,256,256,True,generated_runtime_sprite
PR-018,Props & tools,Knife / cutting tool,3D prop + texture ref,P2,"clean, worn",missing,Optional detail prop.,Assets/ProjectOEN/GeneratedArtRuntime256/props_tools/pr_018_knife_cutting_tool.png,ee5d4349bce600eb7e0489f9c96fc833,256,256,True,generated_runtime_sprite
PR-019,Props & tools,Anchor point peg,3D prop + texture ref,P1,"inactive, active",missing,Rope/ravine sequences.,Assets/ProjectOEN/GeneratedArtRuntime256/props_tools/pr_019_anchor_point_peg.png,a24e20ccd67bfa29aa806db2c8148c04,256,256,True,generated_runtime_sprite
PR-020,Props & tools,Shared-carry heavy box,3D prop + texture ref,P0,"idle, carried, placed",missing,Onboarding / co-op hero interaction.,Assets/ProjectOEN/GeneratedArtRuntime256/props_tools/pr_020_shared_carry_heavy_box.png,8e08366e0fd0bc0434a3292e01fb47cb,256,256,True,generated_runtime_sprite
CS-001,Construction states,Shelter – foundation,3D set + state art,P0,state 1 of 5,missing,Build progression.,Assets/ProjectOEN/GeneratedArtRuntime256/construction_states/cs_001_shelter_foundation.png,b030b52204ab1d59ce52aa99c69ab02a,256,256,True,generated_runtime_sprite
CS-002,Construction states,Shelter – partial frame,3D set + state art,P0,state 2 of 5,missing,Build progression.,Assets/ProjectOEN/GeneratedArtRuntime256/construction_states/cs_002_shelter_partial_frame.png,08e867d54035fce43fb26f1a9b10ec65,256,256,True,generated_runtime_sprite
CS-003,Construction states,Shelter – covered / usable,3D set + state art,P0,state 3 of 5,missing,Canonical usable shelter.,Assets/ProjectOEN/GeneratedArtRuntime256/construction_states/cs_003_shelter_covered_usable.png,e3b91519e666dac45f51acaabac7f750,256,256,True,generated_runtime_sprite
CS-004,Construction states,Shelter – damaged,3D set + state art,P0,state 4 of 5,missing,Storm aftermath state.,Assets/ProjectOEN/GeneratedArtRuntime256/construction_states/cs_004_shelter_damaged.png,b938a8968866003d4174482ea8cc8113,256,256,True,generated_runtime_sprite
CS-005,Construction states,Shelter – repaired / reinforced,3D set + state art,P1,state 5 of 5,missing,Post-storm or upgraded state.,Assets/ProjectOEN/GeneratedArtRuntime256/construction_states/cs_005_shelter_repaired_reinforced.png,d80db18c39dd56aeacf5c3795e5597ee,256,256,True,generated_runtime_sprite
CS-006,Construction states,Campfire – laid but unlit,3D set + state art,P0,state 1 of 5,missing,Fire setup state.,Assets/ProjectOEN/GeneratedArtRuntime256/construction_states/cs_006_campfire_laid_but_unlit.png,aa2515c1da72283f744455ca0d75cf73,256,256,True,generated_runtime_sprite
CS-007,Construction states,Campfire – ember,3D set + VFX ref,P0,state 2 of 5,missing,Low-energy fire state.,Assets/ProjectOEN/GeneratedArtRuntime256/construction_states/cs_007_campfire_ember.png,d1b2ed842a58eb12a5ef37bb60db5b6a,256,256,True,generated_runtime_sprite
CS-008,Construction states,Campfire – small flame,3D set + VFX ref,P0,state 3 of 5,missing,Core gameplay state.,Assets/ProjectOEN/GeneratedArtRuntime256/construction_states/cs_008_campfire_small_flame.png,a7bc8fddd5bc3a49f12bec35920037a1,256,256,True,generated_runtime_sprite
CS-009,Construction states,Campfire – strong flame,3D set + VFX ref,P0,state 4 of 5,missing,Best shelter warmth state.,Assets/ProjectOEN/GeneratedArtRuntime256/construction_states/cs_009_campfire_strong_flame.png,1bdced041ef56de5aeb04b073448eebe,256,256,True,generated_runtime_sprite
CS-010,Construction states,Campfire – nearly out / wet,3D set + VFX ref,P0,state 5 of 5,missing,Storm pressure state.,Assets/ProjectOEN/GeneratedArtRuntime256/construction_states/cs_010_campfire_nearly_out_wet.png,44c8f7c636ef37617be8198124f0d228,256,256,True,generated_runtime_sprite
CS-011,Construction states,Signal beacon – base,3D set + state art,P0,state 1 of 5,missing,Goal structure progression.,Assets/ProjectOEN/GeneratedArtRuntime256/construction_states/cs_011_signal_beacon_base.png,6864ac17c1ba4e6629fcdba6da24f196,256,256,True,generated_runtime_sprite
CS-012,Construction states,Signal beacon – partial,3D set + state art,P0,state 2 of 5,missing,Goal structure progression.,Assets/ProjectOEN/GeneratedArtRuntime256/construction_states/cs_012_signal_beacon_partial.png,fa282085b73e587f4c61a29c619e667e,256,256,True,generated_runtime_sprite
CS-013,Construction states,Signal beacon – complete,3D set + state art,P0,state 3 of 5,missing,Ready structure.,Assets/ProjectOEN/GeneratedArtRuntime256/construction_states/cs_013_signal_beacon_complete.png,232c26cb95d93eeaa5865ab982500455,256,256,True,generated_runtime_sprite
CS-014,Construction states,Signal beacon – lit / active,3D set + VFX ref,P0,state 4 of 5,missing,Victory path state.,Assets/ProjectOEN/GeneratedArtRuntime256/construction_states/cs_014_signal_beacon_lit_active.png,7bda63b2b8486e79b748c2fc563b94a3,256,256,True,generated_runtime_sprite
CS-015,Construction states,Signal beacon – storm-damaged,3D set + state art,P0,state 5 of 5,missing,Repair / finale tension.,Assets/ProjectOEN/GeneratedArtRuntime256/construction_states/cs_015_signal_beacon_storm_damaged.png,ccfdd920d41285997ebf3fdbc634fd7d,256,256,True,generated_runtime_sprite
CS-016,Construction states,Radio repair station,3D prop cluster,P1,"broken, mid-repair, repaired",missing,Scenario support state cluster.,Assets/ProjectOEN/GeneratedArtRuntime256/construction_states/cs_016_radio_repair_station.png,49f7cfcc79390f68c7bbcf35279c60d5,256,256,True,generated_runtime_sprite
WK-001,Interaction markers & helper UI,Grab prompt icon,World-space UI,P0,"idle, hover",missing,Core interaction.,Assets/ProjectOEN/GeneratedArtRuntime256/interaction_markers_helper_ui/wk_001_grab_prompt_icon.png,e0070ebe4cd2fe1901544c99b1a5917b,256,256,True,generated_runtime_sprite
WK-002,Interaction markers & helper UI,Two-hand carry prompt,World-space UI,P0,"idle, active",missing,Co-op carry readability.,Assets/ProjectOEN/GeneratedArtRuntime256/interaction_markers_helper_ui/wk_002_two_hand_carry_prompt.png,8c6cf24da75f9ef48626d87290964481,256,256,True,generated_runtime_sprite
WK-003,Interaction markers & helper UI,Snap zone highlight,World-space UI,P0,"off, preview, valid",missing,Placement system.,Assets/ProjectOEN/GeneratedArtRuntime256/interaction_markers_helper_ui/wk_003_snap_zone_highlight.png,57b45b8cd27e6fcfe52fcd3c8d885736,256,256,True,generated_runtime_sprite
WK-004,Interaction markers & helper UI,Rope anchor marker,World-space UI,P1,"inactive, valid",missing,Ravine gameplay.,Assets/ProjectOEN/GeneratedArtRuntime256/interaction_markers_helper_ui/wk_004_rope_anchor_marker.png,ba617a29cb196237798c6d2fe4bba46c,256,256,True,generated_runtime_sprite
WK-005,Interaction markers & helper UI,Objective marker,World-space UI,P0,"primary, secondary",missing,Navigation.,Assets/ProjectOEN/GeneratedArtRuntime256/interaction_markers_helper_ui/wk_005_objective_marker.png,d9524f02b777c68fc52fdde860b19c2e,256,256,True,generated_runtime_sprite
WK-006,Interaction markers & helper UI,Partner location ping,World-space UI,P1,"idle, active",missing,Co-op readability.,Assets/ProjectOEN/GeneratedArtRuntime256/interaction_markers_helper_ui/wk_006_partner_location_ping.png,e017412585913f8b90a39ffde5bb2b8d,256,256,True,generated_runtime_sprite
WK-007,Interaction markers & helper UI,Return object marker,World-space UI,P1,available,missing,Comfort/support function.,Assets/ProjectOEN/GeneratedArtRuntime256/interaction_markers_helper_ui/wk_007_return_object_marker.png,e28334542b275d78051fd80c3a1ac23c,256,256,True,generated_runtime_sprite
