asset_id,category,asset_name,recommended_implementation,priority,states_variants,current_status,notes
EN-004,Environment set dressing,Rope debris set,3D prop cluster,P1,"small, medium",missing,Beach dressing.
EN-005,Environment set dressing,Beach stone cluster,3D prop cluster,P1,"small, medium, large",missing,Set dressing.
EN-006,Environment set dressing,Driftwood cluster,3D prop cluster,P1,"small, medium, large",missing,Set dressing.
EN-007,Environment set dressing,Palm tree variant set,3D vegetation,P0,"young, mature, broken",missing,Macro environment.
EN-008,Environment set dressing,Palm frond ground clutter,3D vegetation,P1,"small, medium",missing,Ground dressing.
EN-009,Environment set dressing,Broadleaf bush set,3D vegetation,P0,"small, medium, dense",missing,Jungle readability.
EN-010,Environment set dressing,Vine cluster set,3D vegetation,P1,"short, hanging, dense",missing,Jungle detail.
EN-011,Environment set dressing,Wet mud / puddle decal set,Material / decal,P1,"small, medium, large",missing,Storm atmosphere.
EN-012,Environment set dressing,Rock wall module,3D environment module,P0,"straight, corner, ledge",missing,Ravine / cliff scenes.
EN-013,Environment set dressing,Cliff edge grass set,3D vegetation,P1,"short, dense",missing,Ravine dressing.
EN-014,Environment set dressing,Cave wall module,3D environment module,P1,"straight, corner, arch",missing,Cave scene support.
EN-015,Environment set dressing,Cave floor debris set,3D prop cluster,P1,"stones, branches",missing,Cave dressing.
EN-016,Environment set dressing,Camp mat / groundsheet,3D prop cluster,P1,"clean, worn, wet",missing,Camp dressing.
EN-017,Environment set dressing,Cooking corner set,3D prop cluster,P1,"pot, crate, utensils",missing,Camp dressing.
EN-018,Environment set dressing,Storage corner set,3D prop cluster,P1,"crate, sack, poles",missing,Camp dressing.
EN-019,Environment set dressing,Signal hill dressing set,3D prop cluster,P1,"logs, ropes, stones",missing,Beacon area dressing.
EN-020,Environment set dressing,Rain catcher placement set,3D prop cluster,P1,"frame, cloth, basin",missing,Derived from mockups.
EN-021,Environment set dressing,Torch stand,3D prop cluster,P2,"unlit, lit",missing,Night readability.
EN-022,Environment set dressing,Path marker stakes,3D prop cluster,P1,"plain, cloth-marked",missing,Navigation hinting.
EN-023,Environment set dressing,Storm damage debris set,3D prop cluster,P1,"broken shelter parts, loose cloth",missing,Finale aftermath.
EN-024,Environment set dressing,Camp boundary rope set,3D prop cluster,P2,"slack, taut",missing,Optional spatial framing.
EN-025,Environment set dressing,Water shoreline foam decal,Material / decal,P2,"calm, storm",missing,Beach polish.
MN-001,Menus & meta screens,Main menu background,UI scene art,P1,"neutral, storm",missing,Startup presentation.
MN-002,Menus & meta screens,Lobby panel,UI panel,P0,"host, client, connected",missing,Pre-game flow.
MN-003,Menus & meta screens,Comfort settings panel,UI panel,P0,default,missing,Required UX.
MN-004,Menus & meta screens,Pause menu panel,UI panel,P0,default,missing,Required UX.
MN-005,Menus & meta screens,Reconnect screen,UI panel,P0,"trying, failed, success",missing,Required UX.
MN-006,Menus & meta screens,Subtitle settings panel,UI panel,P1,default,missing,Accessibility.
MN-007,Menus & meta screens,Scenario select card,UI panel,P1,"Stormnatten, locked future scenario",missing,Future-ready UI.
MN-008,Menus & meta screens,End-of-run summary card,UI panel,P1,"success, failure",missing,Postgame.
MN-009,Menus & meta screens,Player accolade badge set,UI badge,P1,"survivor, builder, rescuer etc.",missing,Postgame stats flavor.
MN-010,Menus & meta screens,Credits / thank you panel,UI panel,P2,default,missing,Gift-version polish.
FX-001,VFX support graphics,Smoke flipbook texture,VFX texture,P1,"small, medium",missing,Campfire / signal fire.
FX-002,VFX support graphics,Ember particle texture,VFX texture,P1,"small, medium",missing,Campfire / signal fire.
FX-003,VFX support graphics,Ash particle texture,VFX texture,P2,single,missing,Storm aftermath.
FX-004,VFX support graphics,Rain splash decal texture,VFX texture,P1,"small, medium",missing,Storm ambience.
FX-005,VFX support graphics,Wet sheen mask texture,VFX/material helper,P1,single,missing,Wet objects look.
FX-006,VFX support graphics,Lightning flash overlay,Screen effect,P1,"near, far",missing,Storm dramatics.
FX-007,VFX support graphics,Glow halo texture,VFX texture,P1,"fire, lantern",missing,Simple bloom support.
FX-008,VFX support graphics,Objective pulse ring,VFX/UI hybrid,P1,"small, medium",missing,World markers.
